Orthogroup	DMKU3.1042	W29	s288c
OG0001082	W0TAL3	A0A1H6PWT6	P47087
OG0001083	W0T6Q3	A0A1H6Q6H4	P31688
OG0001084	W0T6J0	A0A1D8NJ05	P27796
OG0001085	W0TF47	A0A1D8NGA5	Q12311
OG0001086	W0T7H0	A0A1H6Q5B5	P41833
OG0001087	W0T6B3	A0A1D8NQJ0	P25586
OG0001088	W0TH20	A0A1H6Q7I4	P09436
OG0001089	W0T573	A0A1H6PZD4	P20107
OG0001090	W0T803	A0A1D8NC56	P14284
OG0001091	W0TIK0	A0A1D8NB78	P24814
OG0001092	W0TAR2	A0A1H6PVX2	P38342
OG0001093	W0TDN5	A0A1H6Q563	Q00873
OG0001094	W0T7B5	A0A1D8NIC0	P41318
OG0001095	W0T9J5	A0A1D8NDR5	Q02775
OG0001096	W0TCT3	A0A1D8NQ61	Q06005
OG0001097	W0T5H7	A0A1D8N927	P38738
OG0001098	W0TG25	A0A1D8NQQ7	P21524
OG0001099	W0TEM4	A0A1D8N9N9	P40151
OG0001100	W0TBK8	A0A1D8NAP4	P33331
OG0001101	W0T626	A0A1H6PXS3	P07274
OG0001102	W0TA00	A0A1D8NFD1	Q03653
OG0001103	W0TGI9	A0A1D8NGP1	P40477
OG0001104	W0TCB5	A0A1D8N3Y1	P40513
OG0001105	W0TAP9	A0A1D8NLY8	P40544
OG0001106	W0TCW6	A0A1D8NEJ4	Q12412
OG0001107	W0TDR3	A0A1D8N8L9	P53238
OG0001108	W0TEY0	A0A1H6PVY7	P50076
OG0001109	W0T8H5	A0A1D8NGA7	Q04493
OG0001110	W0TF85	A0A1D8N3M4	P32481
OG0001111	W0TJE4	Q9P4D9	Q02207
OG0001112	W0TCY3	A0A1D8NPM4	P13856
OG0001113	W0T7K6	A0A1D8NDY4	P19414
OG0001114	W0TDV1	A0A1D8N8N6	Q12270
OG0001115	W0TEP6	A0A1D8NAD7	P53540
OG0001116	W0T6W8	A0A1H6PYU1	P32375
OG0001118	W0T5D6	A0A1D8N738	P15938
OG0001119	W0T9J0	A0A1D8NJS2	P39110
OG0001120	W0T5F2	A0A1D8NGG0	P38995
OG0001121	W0TFR0	A0A1H6QD61	P53157
OG0001122	W0TCH7	A0A1H6PWW8	P38340
OG0001123	W0TDQ5	A0A1D8NGE5	Q04675
OG0001124	W0TG57	A0A1D8NPE0	P38111
OG0001125	W0TDW5	A0A1D8NK75	P38797
OG0001126	W0T687	A0A1H6Q529	Q12164
OG0001127	W0TD17	A0A1D8NK91	P28000
OG0001128	W0T6F8	A0A1H6PM91	Q02776
OG0001129	W0T4Z7	A0A1H6PPL5	P21147
OG0001130	W0TF27	A0A1D8NQJ3	P47040
OG0001131	W0T770	A0A1D8NDH6	Q08646
OG0001132	W0T807	A0A1D8NQ75	P36112
OG0001133	W0T8R6	A0A1D8NM13	P29469
OG0001134	W0TGP4	A0A1D8NHN0	P46964
OG0001135	W0TG09	A0A1D8NDA0	P38174
OG0001136	W0T7S8	A0A1D8NL20	Q12154
OG0001137	W0TCG9	A0A1D8NLC1	P17883
OG0001138	W0TBV4	A0A1D8ND57	P24280
OG0001139	W0TA63	A0A1H6PS30	P53234
OG0001140	W0TE13	A0A1H6PN77	P28743
OG0001142	W0TJM6	A0A1D8N9Z5	P08417
OG0001143	W0T3N2	A0A1D8NHA3	P36049
OG0001144	W0T3Q7	A0A1D8NAL3	P41834
OG0001145	W0TAF3	A0A1D8NIZ3	Q04226
OG0001146	W0TBU0	A0A1D8NH90	P53265
OG0001147	W0T289	A0A1D8N9R8	P25566
OG0001148	W0T6F7	A0A1H6PKK5	P39108
OG0001149	W0T9T8	A0A1H6PTS0	P38985
OG0001150	W0TBS7	A0A1D8N5H3	Q00416
OG0001151	W0T7P5	A0A1H6PVD2	P18409
OG0001152	W0T3Q2	A0A1D8NMR2	P36163
OG0001153	W0T6X6	A0A1D8NQG6	P53871
OG0001154	W0T486	A0A1H6PZ40	Q05854
OG0001155	W0T535	A0A1D8N6E5	P38323
OG0001156	W0TFR4	A0A1D8NGA2	P53949
OG0001157	W0TJ13	A0A1D8NGX0	Q06497
OG0001158	W0TAV2	A0A1D8N8U6	P53759
OG0001159	W0T9I0	A0A1D8NNR3	P33411
OG0001160	W0TH11	A0A1D8ND93	P34228
OG0001161	W0TKF2	A0A1D8NES9	P34217
OG0001162	W0T963	A0A1D8NAW8	Q02895
OG0001163	W0TBL2	A0A1H6Q136	P40010
OG0001164	W0T460	A0A1D8N7C4	P27929
OG0001165	W0T9G1	A0A1D8NC81	P53199
OG0001166	W0T7A3	A0A1D8NIP1	Q12114
OG0001167	W0TGP5	A0A1D8N9Y1	P38162
OG0001168	W0TJA1	A0A1D8N7F6	P40460
OG0001169	W0T4L5	A0A1D8N676	P47054
OG0001170	W0T6S1	A0A1D8NEF0	Q04500
OG0001171	W0T7F5	A0A1D8NME1	P40962
OG0001172	W0T8S9	A0A1D8NN22	P40857
OG0001173	W0T3V9	A0A1D8N7Z3	P38720
OG0001174	W0TCU1	A0A1D8N3E0	Q12188
OG0001175	W0T794	A0A1D8NFM8	Q12165
OG0001176	W0TH80	A0A1D8NHP3	P53115
OG0001177	W0T9G6	A0A1H6PK44	P32803
OG0001178	W0TCJ1	A0A1D8NIT4	P47165
OG0001179	W0T453	A0A1H6PS42	Q12265
OG0001180	W0TCC8	A0A1D8NFD5	Q08723
OG0001181	W0T7U1	A0A1D8NQB5	Q04489
OG0001182	W0T9B1	A0A1H6PS88	P53134
OG0001183	W0TAY7	A0A1D8N989	Q04049
OG0001184	W0TC95	A0A1D8N5F6	P38768
OG0001185	W0TFV6	A0A1D8NKY3	P43621
OG0001186	W0TCR6	A0A1D8N618	P07264
OG0001187	W0TF58	A0A1D8N847	P29703
OG0001188	W0T9E5	A0A1D8NDG4	Q99247
OG0001189	W0T5Z2	A0A1D8NEG6	P39743
OG0001190	W0TE66	A0A1H6PSJ1	P38334
OG0001191	W0T6V3	A0A1D8N8Y6	P47119
OG0001192	W0T4U2	A0A1D8N886	P21825
OG0001193	W0T4H4	A0A1D8NJD2	P53189
OG0001194	W0TDB2	A0A1D8N5B7	Q12354
OG0001195	W0T4W0	A0A1D8NG93	Q08234
OG0001196	W0T6N3	A0A1D8N6J8	P09620
OG0001197	W0T519	A0A1D8NCZ3	P43593
OG0001198	W0TGZ0	A0A1D8N8K9	P42941
OG0001199	W0T704	A0A1H6Q450	P06773
OG0001200	W0T4I2	A0A1D8NAJ8	P33334
OG0001201	W0TFS4	A0A1D8NDA9	Q06668
OG0001203	W0TEL0	A0A1H6PWX9	P39729
OG0001204	W0T8K7	A0A1D8NQ07	P50276
OG0001205	W0T5A6	A0A1D8NJD9	P00175
OG0001206	W0TDC7	A0A1D8N7W4	P50079
OG0001207	W0T9L5	A0A1D8N902	P53297
OG0001208	W0T8X3	A0A1H6PLB6	P17423
OG0001209	W0TI66	A0A1H6PPZ6	Q12324
OG0001210	W0T984	Q9Y791	P39959
OG0001211	W0TCZ1	A0A1D8NLS9	P38226
OG0001212	W0T9F9	A0A1H6QAT1	P38112
OG0001213	W0T681	A0A1D8NNI1	P54790
OG0001214	W0T8X6	A0A1H6Q0G6	P22289
OG0001215	W0TG08	A0A1H6PUY5	P33767
OG0001216	W0TBC4	A0A1H6PQ28	P38351
OG0001217	W0T763	A0A1D8NEE2	Q12017
OG0001218	W0TED6	A0A1D8N7U1	P32263
OG0001219	W0T5Q3	A0A1D8NBQ9	P25374
OG0001220	W0TAF8	A0A1D8NPF9	P32898
OG0001222	W0T917	A0A1D8N9T3	Q03860
OG0001223	W0T6E2	A0A1D8NIE1	P25574
OG0001224	W0TFZ3	A0A1H6Q7T5	P43591
OG0001225	W0TCU2	A0A1D8NCY4	P33204
OG0001226	W0T5A8	A0A1D8NBC7	P46988
OG0001227	W0TBX3	A0A1D8NKA6	P37297
OG0001228	W0TBA4	A0A1D8NG07	P47045
OG0001229	W0TC40	A0A1H6PZP9	P32339
OG0001230	W0TEG9	A0A1D8NEV0	P17505
OG0001231	W0T7M1	A0A1H6PT51	P38874
OG0001232	W0T8C0	A0A1H6QCP1	Q03161
OG0001233	W0T7Y2	A0A1D8N7N4	Q07938
OG0001234	W0TAQ9	A0A1D8NDH1	P14020
OG0001235	W0T9V6	A0A1H6PPM5	Q12233
OG0001236	W0TCE0	A0A1D8NMQ3	P40055
OG0001237	W0T620	A0A1D8NC03	Q07505
OG0001238	W0THA5	A0A1H6Q9B8	P40496
OG0001240	W0T5U3	A0A1H6PPH9	Q08774
OG0001241	W0THQ3	A0A1D8NL53	P16661
OG0001242	W0T503	A0A1H6PM88	P32378
OG0001244	W0TER8	A0A1D8NN26	Q12362
OG0001245	W0TG26	A0A1H6PSH7	Q99344
OG0001246	W0TGJ1	Q96W74	Q07418
OG0001247	W0TC88	A0A1D8N7Z7	P53131
OG0001248	W0T9B4	A0A1D8NHG1	P33307
OG0001249	W0TJ26	A0A1D8N7G4	P10363
OG0001250	W0T9Z3	A0A1D8N4I9	P38712
OG0001251	W0TAR3	A0A1H6Q6Z9	P48240
OG0001252	W0T6I2	A0A1D8NA04	P38301
OG0001253	W0T8I6	A0A1H6PKF0	P38782
OG0001254	W0TG86	A0A1D8NPK3	P87275
OG0001255	W0TCK4	A0A1D8NNX8	Q12424
OG0001256	W0THL4	A0A1D8NAN9	Q04772
OG0001257	W0T8Z5	A0A1D8NQG5	P23542
OG0001258	W0TA92	A0A1H6PKD0	P38783
OG0001259	W0TJF7	A0A1D8NIA6	P53394
OG0001260	W0TCL0	A0A1D8NIJ7	P50077
OG0001261	W0THB9	A0A1H6PNW2	P53615
OG0001262	W0TAI8	A0A1D8NDY0	Q06168
OG0001263	W0TGB0	A0A1D8NQ88	P46674
OG0001264	W0TGV8	A0A1D8NAB1	P02994
OG0001265	W0T4N8	A0A1D8NNQ0	P36003
OG0001266	W0T6M7	A0A1D8NP32	Q06390
OG0001267	W0T767	A0A1D8NN28	P36123
OG0001268	W0TD86	A0A1D8ND45	P30777
OG0001269	W0T7Z1	A0A1D8N7W2	P31384
OG0001270	W0T5N3	A0A1D8NFL7	Q04868
OG0001271	W0TH90	A0A1D8NA01	P32588
OG0001273	W0TD48	A0A1D8NE19	Q04869
OG0001274	W0T2A8	A0A1D8NAW2	Q06263
OG0001275	W0TBW2	A0A1D8NE80	P47172
OG0001276	W0TEP2	A0A1H6PP51	Q05809
OG0001277	W0T699	A0A1D8NIB9	P38623
OG0001278	W0TGP2	A0A1D8NLC7	P32288
OG0001279	W0TBG0	A0A1D8N915	P06100
OG0001280	W0TA39	A0A1D8NKA4	P20053
OG0001281	W0T686	A0A1D8NGE6	P32567
OG0001282	W0TH21	A0A1D8NN16	P38211
OG0001283	W0TGU5	A0A1D8N7T5	P25293
OG0001284	W0TE43	A0A1H6Q4B2	P53258
OG0001285	W0TAM6	A0A1D8NF97	P25340
OG0001286	W0T6W7	A0A1D8NKT1	P09064
OG0001287	W0TE79	A0A1D8NHU7	P53306
OG0001288	W0TI75	A0A1D8NJ65	P53622
OG0001289	W0T9W3	A0A1H6Q381	P14540
OG0001290	W0TF54	A0A1D8N8A1	Q08237
OG0001291	W0T3D3	A0A1D8N7T7	P53327
OG0001292	W0T4W3	A0A1D8NCT1	Q08647
OG0001293	W0T8X7	A0A1D8NMW6	P32266
OG0001294	W0TEE7	A0A1D8NCU3	P53938
OG0001295	W0TB82	A0A1D8NHB5	P12866
OG0001296	W0TBY5	A0A1H6PZJ7	Q08920
OG0001297	W0TJ67	A0A1D8NBB6	P38201
OG0001298	W0T9W9	A0A1H6PWG3	P04456
OG0001299	W0TD43	A0A1H6PS91	P21304
OG0001300	W0TBK3	A0A1H6PM48	Q06156
OG0001301	W0TGM0	A0A1D8NFH9	P53333
OG0001302	W0TCI3	A0A1D8N891	P28584
OG0001303	W0TD36	A0A1D8N9T2	P80667
OG0001304	W0TGR8	A0A1H6PUQ0	P32453
OG0001305	W0T5T0	A0A1D8N9Y7	P32775
OG0001306	W0T818	A0A1D8N937	P04173
OG0001307	W0TDI6	A0A1H6PRZ3	Q04629
OG0001308	W0T6R0	A0A1H6PNH0	P40086
OG0001309	W0TFV5	A0A1D8NN55	Q08230
OG0001310	W0TFP4	A0A1D8NFN3	P38198
OG0001311	W0THM5	A0A1H6PYL4	Q08923
OG0001312	W0TAU3	A0A1D8NEE8	Q12509
OG0001313	W0T7Z2	A0A1D8NIH0	Q06640
OG0001314	W0TIJ5	A0A1D8NCH5	P32602
OG0001315	W0T3M9	A0A1D8NLM7	Q01846
OG0001316	W0TCL6	A0A1H6Q1K8	P34234
OG0001317	W0T9L8	A0A1D8NG84	Q07350
OG0001318	W0T586	A0A1D8N7P5	Q00246
OG0001320	W0TB97	A0A1D8NGC3	Q04217
OG0001321	W0TFD2	A0A1D8N9U5	P01097
OG0001322	W0TD95	A0A1D8NDU4	P36136
OG0001323	W0TA18	A0A1D8NJV7	P42946
OG0001324	W0T4V5	A0A1H6PWJ8	P15646
OG0001325	W0T7C0	A0A1D8NEI2	P33750
OG0001326	W0T2P5	A0A1D8NM98	P33330
OG0001327	W0TJ10	A0A1H6PWS6	Q06505
OG0001328	W0TG17	A0A1D8NJ61	P40554
OG0001329	W0T923	A0A1H6PX20	P39719
OG0001330	W0TER5	A0A1D8NDU7	P38931
OG0001331	W0T708	A0A1D8NIV5	P31377
OG0001332	W0TF01	A0A1D8N5H0	P38790
OG0001333	W0TES9	A0A1D8NEC8	P49957
OG0001334	W0TEH9	A0A1D8NHA9	P32787
OG0001335	W0T670	A0A1D8NQH2	Q03104
OG0001336	W0T6W1	A0A1D8N681	P00950
OG0001337	W0T8G6	V5YNE0	P32368
OG0001338	W0TF82	A0A1H6PTD4	P40516
OG0001339	W0T4S8	A0A1H6PRX2	P38300
OG0001340	W0T651	A0A1D8N9G0	P38219
OG0001341	W0TJ78	A0A1D8NKX4	P35177
OG0001343	W0TGW9	A0A1D8NDE5	P40350
OG0001344	W0TBL8	A0A1D8N8V3	Q3E764
OG0001345	W0TD06	A0A1H6PT43	Q02939
OG0001346	W0T8D9	A0A1H6PW45	Q08831
OG0001347	W0T3Y7	A0A1D8N9G1	P25045
OG0001348	W0TGB7	A0A1D8N6N1	Q12204
OG0001349	W0T4U9	A0A1D8NQJ5	P16664
OG0001350	W0TD51	A0A1D8NKY8	P32335
OG0001351	W0T7R2	A0A1D8N9M4	P50875
OG0001352	W0TJB2	A0A1H6PX15	P41821
OG0001353	W0TBC9	A0A1D8N8Z1	P41695
OG0001354	W0T4G8	A0A1D8N7W6	P32829
OG0001355	W0T6S5	A0A1D8NJQ0	P14120
OG0001356	W0TET0	A0A1D8N7J9	P43572
OG0001357	W0T4S5	A0A1D8NH62	P38635
OG0001358	W0T4C3	A0A1D8NPL9	P20051
OG0001359	W0TDD4	A0A1H6PV03	P28817
OG0001360	W0TF56	A0A1D8N631	P32795
OG0001361	W0TGL6	A0A1D8NNJ6	P53335
OG0001362	W0T944	A0A1D8NEN7	Q04585
OG0001363	W0TBI7	A0A1D8N5L2	P38796
OG0001364	W0TAC6	A0A1D8NLN0	P06778
OG0001365	W0TF36	A0A1D8NCC4	Q12284
OG0001366	W0T4K2	A0A1D8NMW3	P38260
OG0001367	W0T860	A0A1D8NEA4	P25355
OG0001368	W0TCA7	A0A1D8N455	P53858
OG0001369	W0T3L1	A0A1D8NGY3	Q03254
OG0001370	W0T9M5	A0A1D8NI83	P38742
OG0001371	W0TFK7	A0A1D8N6D7	Q00381
OG0001372	W0T8I7	A0A1D8NQR4	P32333
OG0001373	W0T5R3	A0A1D8NH01	P43535
OG0001374	W0TH19	A0A1D8NEX1	Q12001
OG0001375	W0TBM1	A0A1D8NDY6	P40560
OG0001376	W0THF6	A0A1D8NAE4	P53917
OG0001377	W0T7U8	A0A1D8N8Q0	P02406
OG0001378	W0T7J7	A0A1D8NI45	Q07830
OG0001379	W0T3U0	A0A1D8NNV4	P27999
OG0001380	W0TGG7	A0A1D8NH61	P28834
OG0001381	W0T9I9	A0A1H6PZM3	P43565
OG0001382	W0T3Q6	A0A1D8NE42	Q12487
OG0001383	W0T625	A0A1D8N5J4	P32461
OG0001384	W0T9Y0	A0A1D8N3E2	P53191
OG0001385	W0TBV9	A0A1D8NM64	P16370
OG0001386	W0TCN4	A0A1D8NAX4	Q12211
OG0001387	W0TDM1	A0A1D8NPX7	Q12163
OG0001388	W0TAN4	A0A1D8NM49	P32849
OG0001389	W0TC55	A0A1H6PJ99	Q03246
OG0001390	W0THU4	A0A1D8NIT5	P32178
OG0001391	W0TFQ2	A0A1D8NQ53	P07267
OG0001392	W0TG80	A0A1H6PWV7	Q99207
OG0001393	W0T348	A0A1D8NQ00	Q03465
OG0001394	W0T982	A0A1D8NFN0	P40354
OG0001395	W0T847	A0A1D8NN57	P35191
OG0001396	W0TBW0	A0A1D8N933	P04147
OG0001397	W0TER3	A0A1D8NG16	Q12389
OG0001398	W0T5S2	A0A1D8NCJ3	P43568
OG0001399	W0TB43	A0A1D8N7N5	P07271
OG0001400	W0TAH6	A0A1D8NCY6	P36091
OG0001401	W0THK9	A0A1H6PZ18	P38750
OG0001402	W0T7C5	A0A1H6QC69	P53099
OG0001403	W0TDG6	A0A1D8ND05	P39102
OG0001404	W0TF72	A0A1H6PYT0	P47143
OG0001405	W0T5D2	A0A1D8NF87	Q12067
OG0001406	W0TH58	A0A1D8NC89	Q06340
OG0001407	W0TF46	A0A1D8NDX9	Q12432
OG0001408	W0T9B7	A0A1H6Q7L1	P32341
OG0001409	W0TA58	A0A1D8ND34	P38886
OG0001410	W0THT2	A0A1H6Q2S0	Q03071
OG0001411	W0T908	A0A1H6QA57	Q07821
OG0001412	W0TB78	A0A1D8NE37	P00937
OG0001414	W0T8V0	A0A1D8NGF7	Q06169
OG0001416	W0TB32	A0A1D8NEI1	P40018
OG0001417	W0T590	A0A1H6PZ76	P36144
OG0001418	W0T2B8	A0A1H6PXK5	P08465
OG0001419	W0TDV5	A0A1D8N784	P53919
OG0001420	W0T9Z8	A0A1H6PSV1	A5Z2X5
OG0001421	W0TBQ0	A0A1D8NLC3	P25338
OG0001423	W0TAT1	A0A1D8N8I6	Q12009
OG0001424	W0THR2	A0A1D8N7T8	P46151
OG0001425	W0TFZ4	A0A1D8NMQ7	P24583
OG0001426	W0TJH3	A0A1H6PYQ9	P43587
OG0001427	W0TFF1	A0A1D8NH38	Q12149
OG0001428	W0T6K6	A0A1H6PRR9	P38329
OG0001430	W0T9A2	A0A1D8NN05	P43613
OG0001431	W0T965	A0A1D8N9B1	P32347
OG0001432	W0TF92	A0A1D8NL32	Q04734
OG0001433	W0T8B5	A0A1H6PU80	P38958
OG0001434	W0TG01	A0A1H6PPI6	P35691
OG0001435	W0TG18	A0A1H6PGU3	P32462
OG0001436	W0T2X7	A0A1D8N8W3	Q03660
OG0001437	W0THC5	A0A1D8NDA4	P38792
OG0001438	W0T922	A0A1D8NFP3	P32833
OG0001439	W0TIL3	A0A1D8NH00	P47127
OG0001440	W0TIU0	S5U4T6	P00410
OG0001441	W0TC42	A0A1D8NFM6	Q06551
OG0001442	W0T3J3	A0A1D8NL05	P36022
OG0001443	W0THC6	A0A1D8NA83	P40987
OG0001444	W0T402	A0A1D8N8F8	P32525
OG0001445	W0TE52	A0A1H6PT74	Q07381
OG0001446	W0T955	A0A1D8NQ39	Q03834
OG0001447	W0TA86	A0A1D8NH08	Q06632
OG0001448	W0T515	A0A1D8NHE2	P38206
OG0001449	W0TIH2	A0A1D8N5I9	P39678
OG0001450	W0TID5	A0A1D8NDL5	P25039
OG0001451	W0TFC7	A0A1D8NC98	Q12342
OG0001452	W0T2I4	A0A1D8N8K7	P25357
OG0001453	W0T925	A0A1D8NJ04	P36119
OG0001454	W0T576	A0A1H6PZ38	Q12382
OG0001455	W0T9E3	A0A1D8N834	P39007
OG0001456	W0TB83	A0A1H6Q0H4	P47122
OG0001457	W0TEH6	A0A1D8NAN8	Q00955
OG0001458	W0TF17	A0A1D8N8V4	P06777
OG0001459	W0TAS4	A0A1D8NFQ9	Q04307
OG0001460	W0T5L3	A0A1H6PR34	Q06339
OG0001461	W0TBV7	A0A1D8NAZ8	P00572
OG0001462	W0TEQ0	A0A1D8N7T6	P38829
OG0001463	W0TCQ5	A0A1D8NBF3	Q03713
OG0001464	W0TBM3	A0A1H6Q7B8	P32476
OG0001465	W0THX4	A0A1D8NMI5	P26783
OG0001466	W0TCA4	A0A1D8NIN7	P40561
OG0001467	W0TEH4	A0A1D8NEM4	P11792
OG0001468	W0T5L0	A0A1D8NIM0	Q07845
OG0001469	W0TEK9	A0A1D8NBG2	Q03214
OG0001470	W0T3N4	A0A1H6PU53	Q04430
OG0001471	W0T808	A0A1D8N587	Q99257
OG0001472	W0T7B4	A0A1D8NN69	P41895
OG0001473	W0TIQ8	A0A1D8NHZ1	Q00916
OG0001474	W0THC8	A0A1D8NDU0	P40484
OG0001475	W0T9N6	A0A1H6Q473	P41800
OG0001476	W0T7K5	A0A1D8N970	Q08748
OG0001477	W0TE06	A0A1D8NI26	P15274
OG0001478	W0T743	A0A1H6Q629	P53735
OG0001479	W0T8Y4	A0A1D8NGE0	P40963
OG0001480	W0T3H8	A0A1H6PT53	P38859
OG0001481	W0T6Y9	A0A1D8NFW0	Q05942
OG0001482	W0T2T1	A0A1D8NB47	P23255
OG0001483	W0T950	A0A1D8N7N1	P32641
OG0001484	W0TEV0	A0A1H6PX24	P32861
OG0001485	W0T8L4	A0A1D8NJG1	Q08702
OG0001486	W0TD09	A0A1H6QCG3	P34110
OG0001487	W0TBX4	A0A1D8NIM5	P46970
OG0001488	W0T294	A0A1H6Q1S9	P00815
OG0001489	W0TAM2	A0A1H6PK81	P06633
OG0001490	W0T2N7	A0A1D8NLV8	Q06224
OG0001491	W0TI83	A0A1D8NJL0	P50946
OG0001492	W0TEI5	A0A1D8NE57	P47171
OG0001493	W0TCT7	A0A1D8NDC3	Q01560
OG0001494	W0TFV7	A0A1D8NDK4	P53934
OG0001495	W0T4M0	A0A1D8NNV6	P46985
OG0001496	W0T4Y5	A0A1D8N6U4	Q3E705
OG0001498	W0TFW5	A0A1D8NBQ5	P38687
OG0001499	W0THB4	A0A1D8NKQ0	P40493
OG0001500	W0TAA9	A0A1D8NBG0	P32912
OG0001501	W0T9Q5	A0A1D8NMU3	P53723
OG0001502	W0T412	A0A1D8N969	P09119
OG0001503	W0TFD1	A0A1D8NAP9	P38822
OG0001504	W0TFR9	A0A1D8N794	P41814
OG0001505	W0TB22	A0A1D8NMK0	P39928
OG0001506	W0TA23	A0A1D8NLD3	P25847
OG0001507	W0TDH8	A0A1D8N5D9	P32496
OG0001508	W0TBS4	A0A1H6PM01	P53259
OG0001509	W0T7S9	A0A1H6PW72	P28627
OG0001510	W0TCN9	A0A1D8N7C6	P07250
OG0001511	W0TGX0	A0A1D8NFC8	P43586
OG0001512	W0TC27	A0A1D8NKV0	P53123
OG0001513	W0TK00	A0A1D8NLE0	P25491
OG0001514	W0T5E3	A0A1D8N887	P32325
OG0001515	W0TA57	A0A1D8NHD2	P06102
OG0001517	W0T2Q0	A0A1D8NKM3	P11710
OG0001518	W0T6N4	A0A1D8NL07	Q08873
OG0001519	W0TFS7	A0A1H6PW03	P32580
OG0001520	W0THE9	A0A1D8NPJ8	P24867
OG0001521	W0TDB6	A0A1D8NGU0	P52920
OG0001522	W0T7E6	A0A1D8NEC3	Q6Q560
OG0001523	W0T672	A0A1D8NPF3	Q07844
OG0001524	W0T7R9	A0A1H6PNB1	P32656
OG0001525	W0TFX0	A0A1D8NCH7	P47149
OG0001526	W0TAW0	A0A1D8N7V8	P07149
OG0001527	W0TDY2	A0A1D8NL62	P20967
OG0001528	W0TCM8	A0A1D8NNJ4	P41903
OG0001529	W0TA15	A0A1D8NK95	Q02326
OG0001530	W0TDX3	A0A1D8NLZ2	P20457
OG0001531	W0TFY0	A0A1H6Q8W6	P33299
OG0001532	W0T7W0	A0A1H6PTW2	P37267
OG0001533	W0T548	A0A1D8NPF0	Q04272
OG0001534	W0T4A7	A0A1H6PZ09	P53219
OG0001535	W0T9L3	A0A1D8NCE0	Q02199
OG0001536	W0TA83	A0A1D8N6N8	Q03327
OG0001537	W0TFA3	A0A1H6Q1P9	P35180
OG0001538	W0TCL5	A0A1D8NPL5	P53303
OG0001539	W0T3F8	A0A1H6PY82	P50102
OG0001540	W0T4D1	A0A1H6PJJ0	P25369
OG0001541	W0TKF9	A0A1H6PTJ1	P05694
OG0001542	W0TD64	A0A1D8NQR5	Q12523
OG0001543	W0TG95	A0A1D8NPR6	Q12334
OG0001544	W0TFH7	A0A1H6PV71	Q05027
OG0001545	W0T7K2	A0A1H6PH73	P45818
OG0001546	W0T604	A0A1D8N7Q6	Q12454
OG0001547	W0TE75	A0A1H6Q7S8	P53941
OG0001548	W0T4E8	A0A1D8N820	P14180
OG0001549	W0T3Q8	A0A1D8N851	Q04406
OG0001551	W0T9R0	A0A1D8NHH1	Q12754
OG0001552	W0TB26	A0A1H6PPE6	P36125
OG0001553	W0T8B0	A0A1D8N7L4	P32776
OG0001554	W0T8A7	A0A1D8NGE2	P29509
OG0001555	W0T5E4	A0A1H6PI72	Q02046
OG0001556	W0TAA7	A0A1H6PJZ2	P53110
OG0001557	W0T8S5	A0A1H6Q021	P13434
OG0001558	W0T7D7	A0A1D8N5N7	P36048
OG0001559	W0T7F7	A0A1D8NHP6	P32582
OG0001560	W0TE98	A0A1H6PNP8	P47131
OG0001561	W0THY2	A0A1H6PYL5	P50113
OG0001562	W0T3H0	A0A1D8N737	P25040
OG0001563	W0T5T2	A0A1D8NPT5	P09937
OG0001564	W0TG49	A0A1D8NI57	P53729
OG0001565	W0T9E9	A0A1H6Q072	P53743
OG0001566	W0TCN8	A0A1D8NBD9	P41835
OG0001567	W0T572	A0A1D8N949	P25333
OG0001568	W0T7S1	A0A1H6PT64	Q08144
OG0001569	W0TFH3	A0A1D8NMY4	P42826
OG0001570	W0T8Y9	A0A1H6Q1H7	Q03880
OG0001571	W0TAA3	A0A1D8NLA1	P38991
OG0001572	W0TEY2	A0A1D8NJC1	O13547
OG0001573	W0TBP0	A0A1D8NJB6	P43639
OG0001574	W0TD18	A0A1D8N8C4	P53066
OG0001575	W0T4H7	A0A1D8NMR0	P06174
OG0001576	W0T4H6	A0A1D8NE51	P41832
OG0001578	W0TAM4	A0A1D8NBD2	Q04225
OG0001579	W0T6R2	A0A1D8NA16	P38207
OG0001580	W0TGN4	A0A1H6Q9K6	P38431
OG0001581	W0TFM1	A0A1D8N842	Q12071
OG0001582	W0TII5	A0A1D8N8Q5	Q12160
OG0001583	W0TFX1	A0A1D8N9C2	Q12289
OG0001584	W0T3P0	A0A1D8NL51	Q12298
OG0001585	W0TCM1	A0A1D8N6W9	Q06991
OG0001586	W0TCL8	A0A1D8NPQ3	P38994
OG0001587	W0TF13	A0A1D8NLA7	Q08951
OG0001588	W0THF2	A0A1D8N793	P25846
OG0001589	W0T4Q8	A0A1D8NQ79	Q02866
OG0001590	W0TE37	A0A1H6PXG0	P38932
OG0001591	W0TD50	A0A1D8NMR5	P19736
OG0001592	W0TI07	A0A1D8NG28	P07260
OG0001593	W0TA79	A0A1H6PIV3	P10614
OG0001594	W0TFT2	A0A1D8NFP9	P32497
OG0001595	W0T6B5	A0A1D8NBG3	P25558
OG0001596	W0T7L3	A0A1H6PUN4	Q12486
OG0001597	W0T8X2	A0A1D8N8G4	Q12234
OG0001598	W0TGV3	A0A1D8N730	Q06089
OG0001599	W0TAL6	A0A1H6PXF8	P07884
OG0001600	W0T786	A0A1D8N606	P53294
OG0001601	W0T9S0	A0A1D8N3R9	Q04603
OG0001602	W0TAZ8	A0A1D8NBF4	P15454
